title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_year,genre_encoded,console_encoded,publisher_encoded,metascore,userscore,total_sales_scaled,metascore_scaled,userscore_scaled,combined_score,success_combined
driver 2,Ps,Action,Atari,Reflections Interactive,7.0,4.73,2.36,0.02,2.1,0.25,2000.0,0,20,68,62.0,75.0,0.23277559055118113,0.5443037974683544,0.7731958762886598,0.4146098930231268,1
the simpsons: hit & run,Ps2,Racing,Vu Games,Radical Entertainment,7.7,4.7,1.73,0.0,2.19,0.79,2003.0,12,21,714,78.0,86.0,0.2312992125984252,0.7468354430379747,0.8865979381443299,0.4724543285508338,1
tony hawk's pro skater 2,Ps,Sports,Activision,Neversoft Entertainment,9.3,4.68,3.05,0.02,1.41,0.2,2000.0,17,20,23,91.0,83.0,0.23031496062992124,0.9113924050632911,0.8556701030927835,0.4888153629106423,1
the lord of the rings: the two towers,Ps2,Action,Electronic Arts,Stormfront Studios,8.3,4.67,1.94,0.08,1.95,0.7,2002.0,0,21,178,82.0,79.0,0.22982283464566927,0.7974683544303798,0.8144329896907216,0.46112220137463894,1
tomb raider,Ps,Action,Eidos Interactive,Core Design Ltd.,8.9,4.63,2.29,0.13,1.97,0.24,1996.0,0,20,174,86.0,83.0,0.2278543307086614,0.8481012658227848,0.8556701030927835,0.4778453140718104,1
forza motorsport 4,X360,Racing,Microsoft Studios,Turn 10 Studio,9.1,4.6,2.08,0.06,1.98,0.49,2011.0,12,35,411,91.0,83.0,0.2263779527559055,0.9113924050632911,0.8556701030927835,0.4864531581862328,1
guitar hero iii: legends of rock,Wii,Misc,Redoctane,Vicarious Visions,8.6,4.6,3.04,0.0,1.12,0.44,2007.0,6,31,542,85.0,84.0,0.2263779527559055,0.8354430379746836,0.865979381443299,0.47763807271057057,1
fifa 15,Ps3,Sports,Ea Sports,Ea Canada,6.9,4.56,0.59,0.04,3.25,0.68,2014.0,17,22,167,82.0,59.0,0.22440944881889763,0.7974683544303798,0.6082474226804123,0.40632777812599863,1
mario & sonic at the olympic winter games,Wii,Sports,Sega,Sega,6.8,4.54,1.87,0.22,1.97,0.48,2009.0,17,31,566,72.0,77.0,0.2234251968503937,0.6708860759493671,0.7938144329896907,0.433141637750064,1
overwatch,Ps4,Shooter,Blizzard Entertainment,Blizzard Entertainment,8.8,4.54,1.84,0.17,1.8,0.73,2016.0,15,23,97,91.0,65.0,0.2234251968503937,0.9113924050632911,0.6701030927835051,0.43828975206560616,1
guitar hero iii: legends of rock,X360,Misc,Redoctane,Neversoft,8.7,4.53,3.19,0.01,0.91,0.42,2007.0,6,35,542,85.0,84.0,0.22293307086614175,0.8354430379746836,0.865979381443299,0.4755711435767123,1
madden nfl 2005,Ps2,Sports,Ea Sports,Ea Tiburon,9.5,4.53,4.18,0.01,0.26,0.08,2004.0,17,21,167,91.0,70.0,0.22293307086614175,0.9113924050632911,0.7216494845360825,0.45088107441319936,1
spider-man: the movie,Ps2,Action,Activision,Treyarch,8.2,4.48,2.71,0.03,1.51,0.23,2002.0,0,21,23,79.0,74.0,0.22047244094488191,0.759493670886076,0.7628865979381443,0.4369291646843766,1
the elder scrolls iv: oblivion,X360,Role-Playing,Take-Two Interactive,Bethesda Softworks,9.2,4.47,2.89,0.13,1.03,0.41,2009.0,13,35,631,94.0,85.0,0.21998031496062992,0.9493670886075949,0.8762886597938144,0.4934654172159708,1
tony hawk's pro skater 3,Ps2,Sports,Activision,Neversoft Entertainment,9.1,4.41,2.66,0.01,1.29,0.46,2001.0,17,21,23,97.0,77.0,0.2170275590551181,0.9873417721518988,0.7938144329896907,0.47677140950327834,1
winning eleven: pro evolution soccer 2007,Ps2,Sports,Konami,Konami Computer Entertainment Tokyo,8.8,4.39,0.1,1.05,2.39,0.86,2007.0,17,21,353,79.0,75.0,0.21604330708661415,0.759493670886076,0.7731958762886598,0.43684900395704485,1
tom clancy's the division,Ps4,Shooter,Ubisoft,Massive Entertainment,7.3,4.37,1.49,0.16,2.04,0.69,2016.0,15,23,685,80.0,70.0,0.21505905511811024,0.7721518987341772,0.7216494845360825,0.42527058901501336,1
need for speed: most wanted,Ps2,Racing,Electronic Arts,Ea Canada,8.6,4.37,2.03,0.08,1.79,0.47,2005.0,12,21,178,84.0,61.0,0.21505905511811024,0.8227848101265823,0.6288659793814433,0.40966964943521433,1
call of duty: advanced warfare,X360,Shooter,Activision,High Moon Studios,9.1,4.34,2.81,0.0,1.13,0.41,2014.0,15,35,23,81.0,57.0,0.2135826771653543,0.7848101265822784,0.5876288659793815,0.3927783417813997,1
watch dogs,Ps4,Action-Adventure,Ubisoft,Ubisoft Montreal,7.3,4.32,1.4,0.11,2.13,0.68,2014.0,1,23,685,80.0,67.0,0.2125984251968504,0.7721518987341772,0.6907216494845361,0.4160622522993708,1
batman: arkham asylum,Ps3,Action,Eidos Interactive,Rocksteady Studios,9.0,4.28,2.26,0.07,1.33,0.63,2009.0,0,22,174,92.0,86.0,0.21062992125984253,0.9240506329113924,0.8865979381443299,0.48663503222869686,1
call of duty: advanced warfare,Ps3,Shooter,Activision,High Moon Studios,9.1,4.27,1.59,0.2,1.81,0.67,2014.0,15,22,23,81.0,57.0,0.21013779527559054,0.7848101265822784,0.5876288659793815,0.39071141264754145,1
namco museum,Gba,Misc,Namco,Mass Media,7.3,4.24,3.0,0.05,1.11,0.07,2001.0,6,6,435,72.0,74.0,0.20866141732283466,0.6708860759493671,0.7628865979381443,0.41655141127064194,1
assassin's creed: revelations,Ps3,Action,Ubisoft,Ubisoft Montreal,8.8,4.23,1.41,0.1,2.03,0.69,2011.0,0,22,685,80.0,75.0,0.2081692913385827,0.7721518987341772,0.7731958762886598,0.43402332868544113,1
assassin's creed: revelations,X360,Action,Ubisoft,Ubisoft Montreal,7.9,4.22,2.28,0.04,1.47,0.44,2011.0,0,35,685,80.0,75.0,0.2076771653543307,0.7721518987341772,0.7731958762886598,0.43372805309488993,1
